migrationKey,authorizationMigrationKey,invoice,JAMIS Project ID,modNumber,legacyId,lineScope,lineNumber,displayOrder,Title,lineType,jobId,description,amount,comments,
IWA-KPS-ATS-2025-M-2268:TRAVEL:2277,IWA-KPS-ATS-2025-M-2268,100178-0002,100757,0,2277,base,1,1,Army 0012 OP1 CLIN 1002 Non-Billable  ODC/Travel,travel,100178-0002-0002-0002,Army 0012 OP1 CLIN 1002 Non-Billable  ODC/Travel,5000,,
IWA-KPS-ATS-2025-M-2268:TRAVEL:2614,IWA-KPS-ATS-2025-M-2268,100178-0002,100757,1,2614,mod,2,2,Migrated Travel/ODC,travel,100178-0002-0002-0002,Migrated legacy ODC amount,5000,,
IWA-TGS-KMS-2025-M-2346:TRAVEL:2348,IWA-TGS-KMS-2025-M-2346,100224-0003,,0,2348,base,1,1,KBJV TGS Subk OP5 CLIN 5001 NRC File Mgmt 4.1,travel,100224-0003-0001-0001,KBJV TGS Subk OP5 CLIN 5001 NRC File Mgmt 4.1,5000,,
IWA-TGS-KMS-2025-M-2346:TRAVEL:2623,IWA-TGS-KMS-2025-M-2346,100224-0003,,1,2623,mod,2,2,Migrated Travel/ODC,travel,,Migrated legacy ODC amount,5000,,
IWA-KTS-KAD-2024-M-1668:TRAVEL:1668,IWA-KTS-KAD-2024-M-1668,100523-0002,100538,0,1668,base,1,1,Migrated Travel/ODC,travel,,Migrated legacy ODC amount,2500,,
IWA-KTS-KAD-2024-M-1668:TRAVEL:2352,IWA-KTS-KAD-2024-M-1668,100523-0002,100538,0,2352,base,2,2,Migrated Travel/ODC,odc,N/A,Migrated legacy ODC amount,2500,,
IWA-KTS-KAD-2024-M-1668:TRAVEL:2450,IWA-KTS-KAD-2024-M-1668,100523-0002,100538,2,2450,mod,3,3,Migrated Travel/ODC,odc,N/A,Migrated legacy ODC amount,2500,,
IWA-KTS-KAD-2024-M-1668:TRAVEL:2606,IWA-KTS-KAD-2024-M-1668,100523-0002,100538,3,2606,mod,4,4,Migrated Travel/ODC,odc,N/A,Migrated legacy ODC amount,2500,,
IWA-KSI-KMS-2026-M-2537:TRAVEL:2602,IWA-KSI-KMS-2026-M-2537,100784-0001,100992,0,2602,base,1,1,HHS 0930 BP CLIN 0003 Communication Software,travel,100784-0001-0003-0001,HHS 0930 BP CLIN 0003 Communication Software,1000,,
IWA-KTIS-KDS-2026-M-2507:TRAVEL:2507,IWA-KTIS-KDS-2026-M-2507,100921-0001,100930,0,2507,base,1,1,USTRANSCOM E124 BP CLIN 0006 ODCs NON BILLABLE,travel,100921-0001-0006-0002,USTRANSCOM E124 BP CLIN 0006 ODCs NON BILLABLE,10000,,
IWA-KTIS-KDS-2026-M-2507:TRAVEL:2534,IWA-KTIS-KDS-2026-M-2507,100921-0001,100930,1,2534,mod,2,2,Migrated Travel/ODC,odc,100921-0001-0006-0001,Migrated legacy ODC amount,10000,,
IWA-KTIS-KDS-2026-M-2507:TRAVEL:2540,IWA-KTIS-KDS-2026-M-2507,100921-0001,100930,2,2540,mod,3,3,Migrated Travel/ODC,travel,100921-0001-0005-0001,Migrated legacy ODC amount,10000,,
IWA-KTIS-KDS-2026-M-2507:TRAVEL:2601,IWA-KTIS-KDS-2026-M-2507,100921-0001,100930,3,2601,mod,4,4,Migrated Travel/ODC,odc,100921-0001-0006-0001,Migrated legacy ODC amount,10000,,
IWA-KTIS-KDS-2026-M-2507:TRAVEL:2607,IWA-KTIS-KDS-2026-M-2507,100921-0001,100930,4,2607,mod,5,5,Migrated Travel/ODC,travel,100921-0001-0005-0001,Migrated legacy ODC amount,10000,,
IWA-KAD-PAC-2026-M-2461:TRAVEL:2608,IWA-KAD-PAC-2026-M-2461,100089-0004,100902,4,2608,mod,5,5,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,3000,,
IWA-KDS-ATS-2025-M-2401:TRAVEL:2593,IWA-KDS-ATS-2025-M-2401,100868-0001,100877,1,2593,mod,2,2,Migrated Travel/ODC,travel,100868-0001-0008-0001,Migrated legacy ODC amount,10000,,No travel only ODC
IWA-KDS-ATS-2025-M-2401:TRAVEL:2603,IWA-KDS-ATS-2025-M-2401,100868-0001,100877,2,2603,mod,3,3,Migrated Travel/ODC,travel,100868-0001-0008-0001,Migrated legacy ODC amount,15000,,No travel only ODC
IWA-KITS-ATS-2025-M-2267:TRAVEL:2267,IWA-KITS-ATS-2025-M-2267,100743-0001,100756,0,2267,base,1,1,Migrated Travel/ODC,travel,100743-0001-0031-0001,Migrated legacy ODC amount,10000,,No travel only ODC
IWA-KITS-ATS-2025-M-2267:TRAVEL:2567,IWA-KITS-ATS-2025-M-2267,100743-0001,100756,1,2567,mod,2,2,Migrated Travel/ODC,travel,100743-0001-0031-0001,Migrated legacy ODC amount,10000,,No travel only ODC
IWA-KDS-EHS-2026-M-2350:TRAVEL:2485,IWA-KDS-EHS-2026-M-2350,100577-0002,100894,1,2485,mod,2,2,Migrated Travel/ODC,travel,100577-0002-0020-0001,Migrated legacy ODC amount,5000,,
IWA-ATS-EHS-2024-M-1382:TRAVEL:1409,IWA-ATS-EHS-2024-M-1382,100023-0004,100274,0,1409,base,1,1,Migrated Travel/ODC,travel,100023-0004-0005-0002,Migrated legacy ODC amount,5000,,No travel only ODC
IWA-ATS-EHS-2024-M-1382:TRAVEL:1950,IWA-ATS-EHS-2024-M-1382,100023-0004,100274,1,1950,mod,2,2,Migrated Travel/ODC,travel,100023-0004-0005-0002,Migrated legacy ODC amount,5000,,No travel only ODC
IWA-ATS-EHS-2024-M-1382:TRAVEL:2580,IWA-ATS-EHS-2024-M-1382,100023-0004,100274,2,2580,mod,3,3,Migrated Travel/ODC,travel,100023-0004-0005-0002,Migrated legacy ODC amount,5000,,No travel only ODC
IWA-KET-TGS-2025-M-2058:TRAVEL:2085,IWA-KET-TGS-2025-M-2058,100678-0001,100705,0,2085,base,1,1,Migrated Travel/ODC,travel,100678-0001-0001-0002,Migrated legacy ODC amount,2500,,travel
