rawOperatingGroup,targetOperatingGroup,lob
Defense Business Innovations,Defense Business Innovations,Defense & Intel
Digital Transformation & Modernization,Digital Transformation & Modernization,Defense & Intel
Digital Transformation and Modernization,Digital Transformation & Modernization,Defense & Intel
Health IT,Health IT,Health & Operations Management
Health Professional Services,Health Professional Services,Health & Operations Management
Information & Management Systems,Information & Management Systems,Federal Civilian
Information & Software Systems,Information & Software Systems,Federal Civilian
Information Solutions & Security,Information Solutions & Security,Federal Civilian
Integrated Logistics,Integrated Logistics,Health & Operations Management
Management Consulting & Transformation,Management Consulting & Transformation,Federal Civilian
Mission Solutions,Mission Solutions,Defense & Intel
Operations Management,Operations Management,Health & Operations Management
Strategic IT,Strategic IT,Federal Civilian
Applied Innovation,Applied Innovation,Defense & Intel
Emerging Capabilities,Emerging Capabilities,Defense & Intel
Enterprise Transformation,Enterprise Transformation,Defense & Intel
Mission Technology,Mission Technology,Defense & Intel
Defense 2,Defense Business Innovations,Defense & Intel
Defense 4,Emerging Capabilities,Defense & Intel
Enterprise Solutions,Enterprise Transformation,Defense & Intel
Management Consulting,Management Consulting & Transformation,Federal Civilian
Occupational Health,Health Professional Services,Health & Operations Management
,,
